Team,Actual League Position,Total(Â£),Year
Chelsea FC,1,99.0,2015
Manchester City,2,98.5,2015
Manchester United,4,96.8,2015
Arsenal FC,3,96.5,2015
Liverpool FC,6,92.8,2015
Tottenham Hotspur,5,88.8,2015
Southampton FC,7,82.6,2015
Everton FC,11,80.6,2015
Swansea City,8,80.6,2015
Newcastle United,15,77.8,2015
Stoke City,9,77.8,2015
Crystal Palace,10,77.3,2015
West Ham United,12,76.3,2015
West Bromwich Albion,13,72.9,2015
Leicester City,14,71.6,2015
Sunderland AFC,16,69.9,2015
Aston Villa,17,68.6,2015
Hull City,18,66.6,2015
Burnley FC,19,65.4,2015
QPR,20,64.9,2015
Arsenal FC,2,101.0,2016
Manchester City,4,97.0,2016
Manchester United,5,96.4,2016
Tottenham Hotspur,3,95.2,2016
Leicester City,1,93.2,2016
Liverpool FC,8,90.5,2016
Chelsea FC,10,87.2,2016
West Ham United,7,85.8,2016
Southampton FC,6,84.8,2016
Everton FC,11,83.0,2016
Stoke City,9,79.5,2016
Swansea City,12,75.8,2016
Watford FC,13,74.6,2016
West Bromwich Albion,14,73.3,2016
Newcastle United,18,72.8,2016
Crystal Palace,15,72.1,2016
Sunderland AFC,17,71.8,2016
AFC Bournemouth,16,70.8,2016
Norwich City,19,67.1,2016
Aston Villa,20,66.6,2016
Chelsea FC,1,153.2,2017
Manchester City,3,149.4,2017
Tottenham Hotspur,2,148.5,2017
Liverpool FC,4,148.4,2017
Manchester United,6,143.6,2017
Arsenal FC,5,142.8,2017
Everton FC,7,132.4,2017
Southampton FC,8,127.6,2017
AFC Bournemouth,9,123.8,2017
West Ham United,11,121.9,2017
Leicester City,12,120.9,2017
West Bromwich Albion,10,120.0,2017
Crystal Palace,14,115.2,2017
Stoke City,13,113.3,2017
Swansea City,15,109.5,2017
Watford FC,17,108.5,2017
Burnley FC,16,107.6,2017
Middlesbrough FC,19,104.6,2017
Hull City,18,103.7,2017
Sunderland AFC,20,99.9,2017
Manchester United,2,149.8,2018
Manchester City,1,149.4,2018
Liverpool FC,4,145.9,2018
Tottenham Hotspur,3,144.4,2018
Arsenal FC,6,142.0,2018
Chelsea FC,5,141.7,2018
Everton FC,8,128.0,2018
Newcastle United,10,123.0,2018
Burnley FC,7,119.8,2018
Leicester City,9,118.2,2018
West Ham United,13,116.1,2018
Crystal Palace,11,114.3,2018
AFC Bournemouth,12,111.2,2018
Brighton & Hove Albion,15,107.7,2018
Southampton FC,17,107.2,2018
Watford FC,14,106.3,2018
Huddersfield Town,16,102.4,2018
Stoke City,19,98.9,2018
Swansea City,18,98.5,2018
West Bromwich Albion,20,94.7,2018
Liverpool FC,2,149.0,2019
Manchester City,1,147.5,2019
Chelsea FC,3,142.6,2019
Tottenham Hotspur,4,141.8,2019
Manchester United,6,139.1,2019
Arsenal FC,5,138.8,2019
Everton FC,8,125.3,2019
Wolverhampton Wanderers,7,123.9,2019
Leicester City,9,120.1,2019
West Ham United,10,119.3,2019
Newcastle United,13,116.9,2019
Crystal Palace,12,111.1,2019
Watford FC,11,110.7,2019
AFC Bournemouth,14,105.0,2019
Burnley FC,15,104.3,2019
Brighton & Hove Albion,17,102.7,2019
Southampton FC,16,101.2,2019
Cardiff City,18,99.6,2019
Fulham FC,19,98.8,2019
Huddersfield Town,20,93.6,2019
Liverpool FC,1,174.6,2020
Manchester City,2,168.3,2020
Manchester United,3,166.2,2020
Chelsea FC,4,160.9,2020
Tottenham Hotspur,6,155.6,2020
Arsenal FC,8,148.2,2020
Leicester City,5,147.4,2020
Wolverhampton Wanderers,7,141.1,2020
Sheffield United,9,132.6,2020
Everton FC,12,128.2,2020
Burnley FC,10,127.3,2020
Newcastle United,13,126.0,2020
Southampton FC,11,123.1,2020
Crystal Palace,14,115.6,2020
Brighton & Hove Albion,15,113.5,2020
West Ham United,16,113.4,2020
Aston Villa,17,106.1,2020
AFC Bournemouth,18,100.8,2020
Watford FC,19,97.7,2020
Norwich City,20,94.5,2020
Manchester City,1,153.9,2021
Manchester United,2,153.5,2021
Chelsea FC,4,150.9,2021
Liverpool FC,3,148.3,2021
West Ham United,6,143.5,2021
Leicester City,5,141.3,2021
Tottenham Hotspur,7,139.4,2021
Leeds United,9,138.6,2021
Arsenal FC,8,135.0,2021
Everton FC,10,134.4,2021
Aston Villa,11,122.2,2021
Wolverhampton Wanderers,13,119.9,2021
Newcastle United,12,116.9,2021
Crystal Palace,14,116.3,2021
Southampton FC,15,111.7,2021
Brighton & Hove Albion,16,107.5,2021
Burnley FC,17,101.7,2021
Fulham FC,18,106.9,2021
West Bromwich Albion,19,101.7,2021
Sheffield United,20,91.0,2021
Manchester City,1,164.0,2022
Liverpool FC,2,162.3,2022
Tottenham Hotspur,4,155.1,2022
Chelsea FC,3,155.0,2022
Arsenal FC,5,154.3,2022
Manchester United,6,149.8,2022
West Ham United,7,143.3,2022
Leicester City,8,134.1,2022
Newcastle United,11,130.9,2022
Brighton & Hove Albion,9,130.5,2022
Wolverhampton Wanderers,10,128.8,2022
Crystal Palace,12,123.5,2022
Aston Villa,14,122.0,2022
Brentford FC,13,119.9,2022
Everton FC,16,118.6,2022
Leeds United,17,114.0,2022
Southampton FC,15,111.8,2022
Burnley FC,18,103.9,2022
Watford FC,19,101.2,2022
Norwich City,20,98.6,2022
Manchester City,1,161.3,2023
Arsenal FC,2,159.8,2023
Manchester United,3,152.1,2023
Newcastle United,4,151.7,2023
Liverpool FC,5,151.6,2023
Brighton & Hove Albion,6,150.2,2023
Aston Villa,7,142.1,2023
Tottenham Hotspur,8,134.0,2023
Brentford FC,9,131.5,2023
Fulham FC,10,130.6,2023
Crystal Palace,11,128.2,2023
Chelsea FC,12,124.3,2023
Wolverhampton Wanderers,13,123.3,2023
West Ham United,14,121.0,2023
AFC Bournemouth,15,120.4,2023
Nottingham Forest,16,116.1,2023
Everton FC,17,113.3,2023
Leicester City,18,106.1,2023
Leeds United,19,104.6,2023
Southampton FC,20,100.3,2023
Manchester City,1,176.2,2024
Arsenal FC,2,172.2,2024
Liverpool FC,3,168.3,2024
Aston Villa,4,164.3,2024
Tottenham Hotspur,5,162.9,2024
Manchester United,8,151.9,2024
Chelsea FC,6,149.7,2024
Newcastle United,7,148.3,2024
West Ham United,9,138.7,2024
Crystal Palace,10,138.1,2024
AFC Bournemouth,12,137.3,2024
Brighton & Hove Albion,11,133.3,2024
Wolverhampton Wanderers,14,129.0,2024
Fulham FC,13,124.6,2024
Nottingham Forest,17,120.5,2024
Brentford FC,16,118.6,2024
Everton FC,15,117.5,2024
Luton Town,18,114.0,2024
Burnley FC,19,111.7,2024
Sheffield United,20,103.6,2024
